group	node_shape	node_role	target_classes	closed	ignored_properties	property_shape_count	sparql_constraint_count
CollectionOrdering	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape	root	urn:codex:bootstrap:1.0.0#CollectionOrdering	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
CollectionRules	urn:codex:bootstrap:1.0.0#CollectionRules#shape	root	urn:codex:bootstrap:1.0.0#CollectionRules	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ConceptDefinition	urn:codex:bootstrap:1.0.0#ConceptDefinition#shape	root	urn:codex:bootstrap:1.0.0#ConceptDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	12	1
ConceptDefinitions	urn:codex:bootstrap:1.0.0#ConceptDefinitions#shape	root	urn:codex:bootstrap:1.0.0#ConceptDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ConceptOption	urn:codex:bootstrap:1.0.0#ConceptOption#shape	root	urn:codex:bootstrap:1.0.0#ConceptOption	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ConditionalConstraint	urn:codex:bootstrap:1.0.0#ConditionalConstraint#shape	root	urn:codex:bootstrap:1.0.0#ConditionalConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ConstraintDefinition	urn:codex:bootstrap:1.0.0#ConstraintDefinition#shape	root	urn:codex:bootstrap:1.0.0#ConstraintDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
ConstraintDefinitions	urn:codex:bootstrap:1.0.0#ConstraintDefinitions#shape	root	urn:codex:bootstrap:1.0.0#ConstraintDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ContentConstraint	urn:codex:bootstrap:1.0.0#ContentConstraint#shape	root	urn:codex:bootstrap:1.0.0#ContentConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
ContentConstraint	urn:codex:bootstrap:1.0.0#ContentConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0	subshape				2	0
