group	start_line	end_line	shape	target_classes	closed	ignored_properties	property_shape_count	sparql_constraint_count
UniqueConstraint	23752	23999	urn:codex:bootstrap:1.0.0#UniqueConstraint#shape	urn:codex:bootstrap:1.0.0#UniqueConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ValidatorDefinition	24000	24303	urn:codex:bootstrap:1.0.0#ValidatorDefinition#shape	urn:codex:bootstrap:1.0.0#ValidatorDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	1
ValidatorDefinitions	24304	24506	urn:codex:bootstrap:1.0.0#ValidatorDefinitions#shape	urn:codex:bootstrap:1.0.0#ValidatorDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ValueInNumericRange	24507	24838	urn:codex:bootstrap:1.0.0#ValueInNumericRange#shape	urn:codex:bootstrap:1.0.0#ValueInNumericRange	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ValueIsNonEmpty	24839	25010	urn:codex:bootstrap:1.0.0#ValueIsNonEmpty#shape	urn:codex:bootstrap:1.0.0#ValueIsNonEmpty	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ValueIsOneOf	25011	25220	urn:codex:bootstrap:1.0.0#ValueIsOneOf#shape	urn:codex:bootstrap:1.0.0#ValueIsOneOf	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ValueIsValid	25221	25424	urn:codex:bootstrap:1.0.0#ValueIsValid#shape	urn:codex:bootstrap:1.0.0#ValueIsValid	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ValueLength	25425	25756	urn:codex:bootstrap:1.0.0#ValueLength#shape	urn:codex:bootstrap:1.0.0#ValueLength	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ValueMatchesPattern	25757	25997	urn:codex:bootstrap:1.0.0#ValueMatchesPattern#shape	urn:codex:bootstrap:1.0.0#ValueMatchesPattern	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ValueTypeDefinition	25998	26288	urn:codex:bootstrap:1.0.0#ValueTypeDefinition#shape	urn:codex:bootstrap:1.0.0#ValueTypeDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	1
ValueTypeDefinitions	26289	26491	urn:codex:bootstrap:1.0.0#ValueTypeDefinitions#shape	urn:codex:bootstrap:1.0.0#ValueTypeDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
When	26492	26702	urn:codex:bootstrap:1.0.0#When#shape	urn:codex:bootstrap:1.0.0#When	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
