group	start_line	end_line	shape	target_classes	closed	ignored_properties	property_shape_count	sparql_constraint_count
ConceptDefinitions	4659	4861	urn:codex:bootstrap:1.0.0#ConceptDefinitions#shape	urn:codex:bootstrap:1.0.0#ConceptDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ConceptOption	4862	5071	urn:codex:bootstrap:1.0.0#ConceptOption#shape	urn:codex:bootstrap:1.0.0#ConceptOption	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ConditionalConstraint	5072	5319	urn:codex:bootstrap:1.0.0#ConditionalConstraint#shape	urn:codex:bootstrap:1.0.0#ConditionalConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ConstraintDefinition	5320	5629	urn:codex:bootstrap:1.0.0#ConstraintDefinition#shape	urn:codex:bootstrap:1.0.0#ConstraintDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
ConstraintDefinitions	5630	5832	urn:codex:bootstrap:1.0.0#ConstraintDefinitions#shape	urn:codex:bootstrap:1.0.0#ConstraintDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ContentConstraint	5833	6397	urn:codex:bootstrap:1.0.0#ContentConstraint#shape	urn:codex:bootstrap:1.0.0#ContentConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
ContentPath	6398	6569	urn:codex:bootstrap:1.0.0#ContentPath#shape	urn:codex:bootstrap:1.0.0#ContentPath	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ContentRules	6570	6871	urn:codex:bootstrap:1.0.0#ContentRules#shape	urn:codex:bootstrap:1.0.0#ContentRules	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ContextConstraint	6872	7276	urn:codex:bootstrap:1.0.0#ContextConstraint#shape	urn:codex:bootstrap:1.0.0#ContextConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
Count	7277	7608	urn:codex:bootstrap:1.0.0#Count#shape	urn:codex:bootstrap:1.0.0#Count	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
DescendantPath	7609	7818	urn:codex:bootstrap:1.0.0#DescendantPath#shape	urn:codex:bootstrap:1.0.0#DescendantPath	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
EachMemberSatisfies	7819	8158	urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape	urn:codex:bootstrap:1.0.0#EachMemberSatisfies	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
EnumeratedConstraint	8159	8368	urn:codex:bootstrap:1.0.0#EnumeratedConstraint#shape	urn:codex:bootstrap:1.0.0#EnumeratedConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
EnumeratedValueSet	8369	8689	urn:codex:bootstrap:1.0.0#EnumeratedValueSet#shape	urn:codex:bootstrap:1.0.0#EnumeratedValueSet	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	1
EnumeratedValueSets	8690	8892	urn:codex:bootstrap:1.0.0#EnumeratedValueSets#shape	urn:codex:bootstrap:1.0.0#EnumeratedValueSets	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ExactlyOneChildOf	8893	9095	urn:codex:bootstrap:1.0.0#ExactlyOneChildOf#shape	urn:codex:bootstrap:1.0.0#ExactlyOneChildOf	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
Exists	9096	9267	urn:codex:bootstrap:1.0.0#Exists#shape	urn:codex:bootstrap:1.0.0#Exists	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ForAll	9268	9439	urn:codex:bootstrap:1.0.0#ForAll#shape	urn:codex:bootstrap:1.0.0#ForAll	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ForbidsChildConcept	9440	9649	urn:codex:bootstrap:1.0.0#ForbidsChildConcept#shape	urn:codex:bootstrap:1.0.0#ForbidsChildConcept	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ForbidsContent	9650	9821	urn:codex:bootstrap:1.0.0#ForbidsContent#shape	urn:codex:bootstrap:1.0.0#ForbidsContent	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ForbidsTrait	9822	10031	urn:codex:bootstrap:1.0.0#ForbidsTrait#shape	urn:codex:bootstrap:1.0.0#ForbidsTrait	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
IdentityConstraint	10032	10831	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape	urn:codex:bootstrap:1.0.0#IdentityConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
Member	10832	11121	urn:codex:bootstrap:1.0.0#Member#shape	urn:codex:bootstrap:1.0.0#Member	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	1
MemberCount	11122	11583	urn:codex:bootstrap:1.0.0#MemberCount#shape	urn:codex:bootstrap:1.0.0#MemberCount	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
Not	11584	11793	urn:codex:bootstrap:1.0.0#Not#shape	urn:codex:bootstrap:1.0.0#Not	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
OnPathCount	11794	12411	urn:codex:bootstrap:1.0.0#OnPathCount#shape	urn:codex:bootstrap:1.0.0#OnPathCount	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	9	0
OnPathExists	12412	12875	urn:codex:bootstrap:1.0.0#OnPathExists#shape	urn:codex:bootstrap:1.0.0#OnPathExists	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	7	0
OnPathForAll	12876	13340	urn:codex:bootstrap:1.0.0#OnPathForAll#shape	urn:codex:bootstrap:1.0.0#OnPathForAll	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	7	0
OrderConstraint	13341	13742	urn:codex:bootstrap:1.0.0#OrderConstraint#shape	urn:codex:bootstrap:1.0.0#OrderConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
PatternConstraint	13743	14021	urn:codex:bootstrap:1.0.0#PatternConstraint#shape	urn:codex:bootstrap:1.0.0#PatternConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
RdfGraph	14022	14224	urn:codex:bootstrap:1.0.0#RdfGraph#shape	urn:codex:bootstrap:1.0.0#RdfGraph	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
