group	node_shape	property_subject	property_kind	path	class	datatype	node	node_kind	min_count	max_count	has_value	min_length	max_length	min_inclusive	max_inclusive	pattern	flags	in_values
AllowsTrait	urn:codex:bootstrap:1.0.0#AllowsTrait#shape	urn:codex:bootstrap:1.0.0#AllowsTrait#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
AllowsTrait	urn:codex:bootstrap:1.0.0#AllowsTrait#shape	urn:codex:bootstrap:1.0.0#AllowsTrait#shape/property/trait/82a3537ff0dbce7eec35d69edc3a189ee6f17d82f353a553f9aa96cb0be3ce89	trait	urn:codex:bootstrap:1.0.0#name		http://www.w3.org/2001/XMLSchema#string			1	1								
AnyOf	urn:codex:bootstrap:1.0.0#AnyOf#shape	urn:codex:bootstrap:1.0.0#AnyOf#shape/property/child/1f1ee75c20d9e8bf4a33feea2915f6b88f24b21e995c0860033130c785d4b9f2	child	urn:codex:bootstrap:1.0.0#AnyOf#child/1f1ee75c20d9e8bf4a33feea2915f6b88f24b21e995c0860033130c785d4b9f2	urn:codex:bootstrap:1.0.0#Rule				2									
AnyOf	urn:codex:bootstrap:1.0.0#AnyOf#shape	urn:codex:bootstrap:1.0.0#AnyOf#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
AnyOf	urn:codex:bootstrap:1.0.0#AnyOf#shape	urn:codex:bootstrap:1.0.0#AnyOf#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
ChildConstraint	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
ChildConstraint	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
ChildConstraint	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint#shape/property/trait/1303c06b0b014d0ce7b988ab173a13f31227d417058ff4bbe6f8c222b4ad913c	trait	urn:codex:bootstrap:1.0.0#type					1	1								$AllowsChildConcept | $ForbidsChildConcept | $RequiresChildConcept
ChildConstraint	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint#shape/property/trait/f2ef0d70878dd6ee20538ab51f8bef94ca47ec3243addbf9c2aa764660fcd992	trait	urn:codex:bootstrap:1.0.0#conceptSelector		urn:cdx:value-type:ConceptName			1	1								
ChildPath	urn:codex:bootstrap:1.0.0#ChildPath#shape	urn:codex:bootstrap:1.0.0#ChildPath#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
ChildPath	urn:codex:bootstrap:1.0.0#ChildPath#shape	urn:codex:bootstrap:1.0.0#ChildPath#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
ChildPath	urn:codex:bootstrap:1.0.0#ChildPath#shape	urn:codex:bootstrap:1.0.0#ChildPath#shape/property/trait/f2ef0d70878dd6ee20538ab51f8bef94ca47ec3243addbf9c2aa764660fcd992	trait	urn:codex:bootstrap:1.0.0#conceptSelector		urn:cdx:value-type:ConceptName			1	1								
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape	urn:codex:bootstrap:1.0.0#ChildRules#shape/property/child/3e5d6a4f955e398de428d34bebbcfa21d76df97ac3743b2cdfe7aafbaff4ab4e	child	urn:codex:bootstrap:1.0.0#ChildRules#child/3e5d6a4f955e398de428d34bebbcfa21d76df97ac3743b2cdfe7aafbaff4ab4e	urn:codex:bootstrap:1.0.0#ForbidsChildConcept													
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape	urn:codex:bootstrap:1.0.0#ChildRules#shape/property/child/8ae62e6fbd1f1d1d86db9502c37dfc7911335bbc386137c3d8fe796aa5c7b36c	child	urn:codex:bootstrap:1.0.0#ChildRules#child/8ae62e6fbd1f1d1d86db9502c37dfc7911335bbc386137c3d8fe796aa5c7b36c	urn:codex:bootstrap:1.0.0#ExactlyOneChildOf													
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape	urn:codex:bootstrap:1.0.0#ChildRules#shape/property/child/9827b702a98ac1f4f96594e792e74ce92224989cd900e0b0ecf39f55e218dc7a	child	urn:codex:bootstrap:1.0.0#ChildRules#child/9827b702a98ac1f4f96594e792e74ce92224989cd900e0b0ecf39f55e218dc7a	urn:codex:bootstrap:1.0.0#AllowsChildConcept													
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape	urn:codex:bootstrap:1.0.0#ChildRules#shape/property/child/f344fa80d57f2441b887f9c670bd50da15855ecaedbed45b3619e5d604d7d703	child	urn:codex:bootstrap:1.0.0#ChildRules#child/f344fa80d57f2441b887f9c670bd50da15855ecaedbed45b3619e5d604d7d703	urn:codex:bootstrap:1.0.0#RequiresChildConcept													
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape	urn:codex:bootstrap:1.0.0#ChildRules#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape	urn:codex:bootstrap:1.0.0#ChildRules#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0/property/22415827f30301db04762a093fcf9990b3bcc3ab1dab8a9f0c761417ed168170		urn:codex:bootstrap:1.0.0#ChildRules#child/9827b702a98ac1f4f96594e792e74ce92224989cd900e0b0ecf39f55e218dc7a					1									
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1/property/8900f1e918bee743e235c437c3438c39d47a77c1c9b224f6624b737990aa341e		urn:codex:bootstrap:1.0.0#ChildRules#child/f344fa80d57f2441b887f9c670bd50da15855ecaedbed45b3619e5d604d7d703					1									
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/2	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/2/property/2a19088cfe9a50fe8427e38b7acec4b7583c4dc19c6c54f5f9e5c70f88b9f664		urn:codex:bootstrap:1.0.0#ChildRules#child/3e5d6a4f955e398de428d34bebbcfa21d76df97ac3743b2cdfe7aafbaff4ab4e					1									
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/3	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/3/property/151ebe3acda5ac95cd339612e05cf383bbc1c7199c56491ef46532c7be714fba		urn:codex:bootstrap:1.0.0#ChildRules#child/8ae62e6fbd1f1d1d86db9502c37dfc7911335bbc386137c3d8fe796aa5c7b36c					1									
ChildSatisfies	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape/property/child/1f1ee75c20d9e8bf4a33feea2915f6b88f24b21e995c0860033130c785d4b9f2	child	urn:codex:bootstrap:1.0.0#ChildSatisfies#child/1f1ee75c20d9e8bf4a33feea2915f6b88f24b21e995c0860033130c785d4b9f2	urn:codex:bootstrap:1.0.0#Rule				1	1								
ChildSatisfies	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
ChildSatisfies	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
ChildSatisfies	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape/property/trait/f2ef0d70878dd6ee20538ab51f8bef94ca47ec3243addbf9c2aa764660fcd992	trait	urn:codex:bootstrap:1.0.0#conceptSelector		urn:cdx:value-type:ConceptName			1	1								
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/property/child/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f	child	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#child/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f	urn:codex:bootstrap:1.0.0#DescendantPath					1								
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/property/child/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca	child	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#child/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca	urn:codex:bootstrap:1.0.0#ChildPath					1								
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/property/trait/bbd0fcc8f31163f75f9e775154445033f64e3ec05886debdb6656955add68a95	trait	urn:codex:bootstrap:1.0.0#keyTrait		urn:cdx:value-type:TraitName				1								
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/property/trait/eabc01f12ec3e7cb6db0ada0f8f37323b0cfe6d08a2a73479e7d5b62d7e63529	trait	urn:codex:bootstrap:1.0.0#allowed		http://www.w3.org/2001/XMLSchema#boolean			1	1								
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0/property/6b2997b243002abab7ec8d1bea071dbcb5238b930e91312c82839b57455b4680		urn:codex:bootstrap:1.0.0#allowed							true							
