group	node_shape	operator	object	members
EachMemberSatisfies	urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape	xone	urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca | urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f
IdentityConstraint	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape	xone	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0 | urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1 | urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/2 | urn:codex:bootstrap:1.0.0#IdentityConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/3
MemberCount	urn:codex:bootstrap:1.0.0#MemberCount#shape	xone	urn:codex:bootstrap:1.0.0#MemberCount#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#MemberCount#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca | urn:codex:bootstrap:1.0.0#MemberCount#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f
MemberCount	urn:codex:bootstrap:1.0.0#MemberCount#shape	or	urn:codex:bootstrap:1.0.0#MemberCount#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#MemberCount#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#MemberCount#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1
OnPathCount	urn:codex:bootstrap:1.0.0#OnPathCount#shape	xone	urn:codex:bootstrap:1.0.0#OnPathCount#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#OnPathCount#shape/xone/alt/01ed9f3ce9c123082de6760df71be57f9b207a0fbc812e30da7e3e1c88af08ec | urn:codex:bootstrap:1.0.0#OnPathCount#shape/xone/alt/19abd3ea6186f0def524810088b6eae5e8ad10f70e7955791c02e694bad422f3 | urn:codex:bootstrap:1.0.0#OnPathCount#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f | urn:codex:bootstrap:1.0.0#OnPathCount#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca
OnPathCount	urn:codex:bootstrap:1.0.0#OnPathCount#shape	or	urn:codex:bootstrap:1.0.0#OnPathCount#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#OnPathCount#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#OnPathCount#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1
OnPathExists	urn:codex:bootstrap:1.0.0#OnPathExists#shape	xone	urn:codex:bootstrap:1.0.0#OnPathExists#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#OnPathExists#shape/xone/alt/01ed9f3ce9c123082de6760df71be57f9b207a0fbc812e30da7e3e1c88af08ec | urn:codex:bootstrap:1.0.0#OnPathExists#shape/xone/alt/19abd3ea6186f0def524810088b6eae5e8ad10f70e7955791c02e694bad422f3 | urn:codex:bootstrap:1.0.0#OnPathExists#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f | urn:codex:bootstrap:1.0.0#OnPathExists#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca
OnPathForAll	urn:codex:bootstrap:1.0.0#OnPathForAll#shape	xone	urn:codex:bootstrap:1.0.0#OnPathForAll#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#OnPathForAll#shape/xone/alt/01ed9f3ce9c123082de6760df71be57f9b207a0fbc812e30da7e3e1c88af08ec | urn:codex:bootstrap:1.0.0#OnPathForAll#shape/xone/alt/19abd3ea6186f0def524810088b6eae5e8ad10f70e7955791c02e694bad422f3 | urn:codex:bootstrap:1.0.0#OnPathForAll#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f | urn:codex:bootstrap:1.0.0#OnPathForAll#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca
OrderConstraint	urn:codex:bootstrap:1.0.0#OrderConstraint#shape	xone	urn:codex:bootstrap:1.0.0#OrderConstraint#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#OrderConstraint#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca | urn:codex:bootstrap:1.0.0#OrderConstraint#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f
RdfTriple	urn:codex:bootstrap:1.0.0#RdfTriple#shape	xone	urn:codex:bootstrap:1.0.0#RdfTriple#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#RdfTriple#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0 | urn:codex:bootstrap:1.0.0#RdfTriple#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1
